City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
206,Guerrero Negro,MX,27.9769,-114.0611,75.58,63,100,17.43,overcast clouds
207,Fukue,JP,32.6881,128.8419,84.56,84,40,6.91,scattered clouds
208,Provideniya,RU,64.3833,-173.3,48.31,81,40,17.9,fog
209,Camalu,MX,30.85,-116.0667,74.71,67,10,8.72,clear sky
210,Noumea,NC,-22.2763,166.4572,73.99,99,13,8.52,few clouds
211,Logan,US,41.7355,-111.8344,96.48,25,1,3.0,clear sky
212,Jambi,ID,-1.6,103.6167,71.02,94,99,2.01,light rain
213,Stony Plain,CA,53.5334,-114.0021,90.79,41,47,1.01,scattered clouds
214,Lagos,NG,6.5833,3.75,79.12,86,27,5.86,scattered clouds
215,Myitkyina,MM,25.3833,97.4,75.24,99,100,0.87,overcast clouds
216,Agadez,NE,19.75,10.25,92.95,15,78,10.51,broken clouds
217,Conceicao Do Araguaia,BR,-8.2578,-49.2647,77.22,38,8,3.18,clear sky
218,Okhotsk,RU,59.3833,143.3,74.23,46,0,13.11,clear sky
219,Woodward,US,36.4337,-99.3904,90.63,44,1,19.57,clear sky
220,Nuuk,GL,64.1835,-51.7216,47.01,93,90,16.11,overcast clouds
221,Yulara,AU,-25.2406,130.9889,57.04,72,43,4.61,scattered clouds
222,Kyren,RU,51.6828,102.1408,65.46,66,2,0.49,clear sky
223,Helong,CN,42.5397,128.9972,80.17,76,67,2.53,broken clouds
224,Nyurba,RU,63.2842,118.3319,57.6,63,100,12.93,overcast clouds
225,Airai,TL,-8.9266,125.4092,65.12,59,99,3.83,overcast clouds
226,Kupang,ID,-10.1667,123.5833,79.38,65,20,9.22,few clouds
227,Kirakira,SB,-10.4544,161.9205,84.78,73,75,15.73,broken clouds
228,Port Elizabeth,ZA,-33.918,25.5701,41.29,87,0,5.75,clear sky
229,Viedma,AR,-40.8135,-62.9967,47.71,41,37,8.66,scattered clouds
230,Russell,US,32.3502,-85.1999,85.51,77,75,0.0,broken clouds
231,Pisco,PE,-13.7,-76.2167,64.45,82,26,12.66,scattered clouds
232,Nyrob,RU,60.733,56.7202,52.83,67,85,2.13,overcast clouds
233,Kotka,FI,60.4664,26.9458,70.86,80,26,1.83,scattered clouds
234,Ouadda,CF,8.0777,22.4007,66.51,98,97,2.1,overcast clouds
235,Itarema,BR,-2.9248,-39.9167,79.57,82,74,16.58,broken clouds
236,Westport,US,41.1415,-73.3579,82.17,88,1,4.0,clear sky
237,Qaqortoq,GL,60.7167,-46.0333,48.7,79,32,1.34,scattered clouds
238,Bathsheba,BB,13.2167,-59.5167,81.21,74,20,17.27,few clouds
239,Bilibino,RU,68.0546,166.4372,59.65,64,100,2.26,overcast clouds
240,Mlonggo,ID,-6.5333,110.7,76.89,76,100,9.26,overcast clouds
241,Storm Lake,US,42.6411,-95.2097,74.89,100,87,10.36,overcast clouds
242,Kaitangata,NZ,-46.2817,169.8464,48.92,60,77,4.18,broken clouds
243,Xihua,CN,33.7833,114.5167,79.34,90,97,6.17,heavy intensity rain
244,Ponta Delgada,PT,37.7333,-25.6667,66.92,82,20,4.61,few clouds
245,Ovalle,CL,-30.5983,-71.2003,55.26,68,0,2.51,clear sky
246,Tomigusuku,JP,26.185,127.675,86.14,76,75,10.36,broken clouds
247,Laguna,US,38.421,-121.4238,100.44,34,1,5.01,clear sky
248,Yerbogachen,RU,61.2767,108.0108,60.75,69,100,12.53,overcast clouds
249,Tura,IN,25.5198,90.2201,73.83,96,99,4.29,overcast clouds
250,Abalak,RU,58.1286,68.5944,44.78,97,100,13.4,light rain
251,Nara,JP,34.6851,135.8049,78.96,94,97,4.18,overcast clouds
252,Vardo,NO,70.3705,31.1107,49.57,90,98,1.3,overcast clouds
253,Port Hardy,CA,50.6996,-127.4199,61.52,71,32,13.69,scattered clouds
254,Constitucion,CL,-35.3333,-72.4167,47.79,81,0,7.78,clear sky
255,Fairbanks,US,64.8378,-147.7164,64.36,73,90,10.36,overcast clouds
256,Nelson Bay,AU,-32.7167,152.15,66.0,76,27,9.28,scattered clouds
257,Hoquiam,US,46.9809,-123.8893,78.06,58,90,14.97,overcast clouds
258,Mezen,RU,65.8522,44.24,52.83,98,45,7.23,moderate rain
259,San Patricio,US,28.017,-97.5169,86.41,66,74,11.12,broken clouds
260,Igrim,RU,63.1906,64.4162,46.33,68,0,2.89,clear sky
261,Mayo,US,38.8876,-76.5119,85.57,85,1,4.0,clear sky
262,Miraflores,MX,19.2167,-98.8083,66.61,91,86,1.99,overcast clouds
263,Ankola,IN,14.6667,74.3,78.01,90,100,11.56,moderate rain
264,Kaeo,NZ,-35.1,173.7833,56.26,59,4,5.7,clear sky
265,Barmer,IN,25.75,71.3833,83.23,75,100,7.09,overcast clouds
266,Aswan,EG,24.0934,32.907,86.85,22,97,9.01,overcast clouds
267,Vostok,RU,46.4856,135.8833,79.77,68,100,1.99,overcast clouds
268,Lagoa,PT,39.05,-27.9833,68.36,84,100,14.14,overcast clouds
269,San Matias,BO,-16.3667,-58.4,78.93,30,0,4.92,clear sky
270,Saint George,US,37.1041,-113.5841,102.67,26,1,7.0,clear sky
271,Ambunti,PG,-4.2365,142.8448,84.69,73,99,0.65,overcast clouds
272,Rundu,NA,-17.9333,19.7667,46.08,43,0,6.96,clear sky
273,Stornoway,GB,58.2093,-6.3865,57.92,82,90,5.75,overcast clouds
274,Abapo,BO,-18.8333,-63.4667,68.2,60,2,1.79,clear sky
275,Katsuura,JP,35.1333,140.3,81.19,80,92,4.94,overcast clouds
276,Cedar City,US,37.6775,-113.0619,85.19,46,40,19.57,scattered clouds
277,Chernyshevskiy,RU,63.0128,112.4714,55.89,65,100,11.77,overcast clouds
278,Nouadhibou,MR,20.931,-17.0347,69.78,88,1,10.36,clear sky
279,Lucea,JM,18.451,-78.1736,85.86,80,1,13.33,light rain
280,Komsomolskiy,UZ,40.4272,71.7189,74.12,40,24,6.91,few clouds
281,Christchurch,NZ,-43.5333,172.6333,55.6,67,85,4.0,light rain
282,Bom Jesus,BR,-9.0744,-44.3586,74.86,46,2,3.96,clear sky
283,Vikindu,TZ,-7.0067,39.2985,74.25,78,60,9.15,broken clouds
284,Kathu,TH,7.9178,98.3332,83.7,82,99,6.08,overcast clouds
285,Kutum,SD,14.2,24.6667,77.13,54,100,7.87,overcast clouds
286,Perry Hall,US,39.4126,-76.4636,84.81,73,1,1.99,clear sky
287,Letterkenny,IE,54.95,-7.7333,54.48,93,79,3.2,broken clouds
288,Nome,US,64.5011,-165.4064,55.17,85,80,14.09,broken clouds
289,Santa Rosa,PH,14.3122,121.1114,85.1,80,100,1.92,overcast clouds
290,Haines Junction,CA,60.7522,-137.5108,48.42,87,100,1.86,light rain
291,Rosetta,EG,31.4044,30.4164,77.56,73,0,10.83,clear sky
292,Palora,EC,-1.7,-77.9333,65.61,98,49,1.01,light rain
293,Nenjiang,CN,49.1833,125.2167,75.38,94,100,11.25,overcast clouds
294,Tawau,MY,4.2498,117.8871,80.73,85,100,5.06,overcast clouds
295,La Palma,US,33.8464,-118.0467,100.76,58,20,5.01,few clouds
296,Almaznyy,RU,48.0448,40.045,62.74,49,0,6.73,clear sky
297,Bageshwar,IN,29.85,79.7667,70.43,90,77,1.21,broken clouds
298,Sioux Lookout,CA,50.1001,-91.917,75.18,30,38,6.31,scattered clouds
299,Madimba,TZ,-10.4,40.3333,71.92,85,3,11.43,clear sky
300,Thompson,CA,55.7435,-97.8558,84.15,20,31,3.98,scattered clouds
301,Leshukonskoye,RU,64.8989,45.7622,57.42,93,40,2.42,scattered clouds
302,Niamey,NE,13.5137,2.1098,86.29,58,0,4.61,clear sky
303,Yumen,CN,40.2833,97.2,74.97,41,87,2.64,overcast clouds
304,Balabac,PH,7.9868,117.0645,80.24,83,100,24.94,moderate rain
305,College,US,64.8569,-147.8028,64.35,72,75,8.05,broken clouds
306,Chapais,CA,49.7834,-74.8492,65.77,70,64,9.01,broken clouds
307,Nanchang,CN,28.6833,115.8833,87.55,60,86,4.74,overcast clouds
308,Kollam,IN,8.8833,76.6,78.67,87,99,9.62,overcast clouds
309,Camapua,BR,-19.5314,-54.0439,73.11,30,39,2.55,scattered clouds
310,Hit,IQ,33.6416,42.8251,89.92,19,0,10.63,clear sky
311,Morondava,MG,-20.2833,44.2833,70.03,51,11,9.73,few clouds
312,Mazagao,BR,-0.115,-51.2894,78.85,87,78,4.23,broken clouds
313,Salihorsk,BY,52.7876,27.5415,67.82,89,13,7.85,few clouds
314,Naze,JP,28.3667,129.4833,83.32,80,100,8.34,overcast clouds
315,Kondinskoye,RU,59.6481,67.41,45.3,90,97,14.85,light rain
316,Palmer,US,42.1584,-72.3287,80.15,78,90,1.99,thunderstorm
317,North Bend,US,43.4065,-124.2243,71.24,75,90,16.11,mist
318,Margate,GB,51.3813,1.3862,64.87,84,2,5.99,clear sky
319,Bandundu,CD,-3.3167,17.3667,73.45,32,66,3.38,broken clouds
320,Manavgat,TR,36.7867,31.4431,88.21,42,0,6.4,clear sky
321,Pirovskoye,RU,57.6267,92.2658,68.32,72,16,3.09,few clouds
322,Nishihara,JP,26.1842,127.7558,85.68,77,75,9.22,broken clouds
323,Takoradi,GH,4.8845,-1.7554,76.37,84,96,9.13,light rain
324,Flinders,AU,-34.5833,150.8552,64.26,87,2,1.01,clear sky
325,Pachino,IT,36.7186,15.0907,77.04,78,0,7.74,clear sky
326,Popondetta,PG,-8.7537,148.2534,87.53,53,100,2.21,overcast clouds
327,Brae,GB,60.3964,-1.353,55.31,88,100,22.41,overcast clouds
328,Tazovskiy,RU,67.4667,78.7,46.24,68,27,3.33,scattered clouds
329,Sitka,US,57.0531,-135.33,57.09,72,75,4.61,broken clouds
330,Bongouanou,CI,6.6486,-4.1992,68.68,99,86,2.95,overcast clouds
331,Menen,BE,50.7972,3.1225,63.01,91,83,14.47,broken clouds
332,Mughal Sarai,IN,25.3,83.1167,84.27,72,58,6.55,broken clouds
333,Kingsville,US,27.5159,-97.8561,86.41,76,75,3.0,broken clouds
334,Grindavik,IS,63.8424,-22.4338,49.55,87,75,11.5,broken clouds
335,Joensuu,FI,62.6012,29.7632,66.69,86,0,4.61,clear sky
336,Tari,NG,12.4086,4.4914,84.83,60,83,12.39,broken clouds
337,Mount Hagen,PG,-5.8581,144.2274,61.56,94,75,0.0,haze
338,Menongue,AO,-14.6585,17.691,52.18,47,3,7.09,clear sky
339,Ostersund,SE,63.1792,14.6357,64.62,94,40,9.22,scattered clouds
340,Lais,PH,6.3328,125.6464,82.47,77,83,0.78,broken clouds
341,Juli,PE,-16.2167,-69.45,42.03,67,1,3.36,clear sky
342,Sistranda,NO,63.7256,8.834,63.9,93,74,19.55,broken clouds
343,Gumdag,TM,39.2061,54.5906,83.93,29,96,9.35,overcast clouds
344,Myingyan,MM,21.4667,95.3833,84.45,63,99,9.69,overcast clouds
345,Shimoda,JP,34.6667,138.95,79.16,76,96,6.26,overcast clouds
346,Sura,RU,53.8879,45.7419,63.19,93,83,1.34,broken clouds
