City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
556,Taitung,TW,80.87,moderate rain,22.7583,121.1444,Taitung Bali Suites Hotel
557,Yafran,LY,70.36,scattered clouds,32.0633,12.5286,بيوت الشباب بيفرن
558,Ottawa,CA,81.43,few clouds,45.4112,-75.6981,Delta Hotels by Marriott Ottawa City Centre
560,Faanui,PF,79.5,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
561,Peace River,CA,87.49,scattered clouds,56.2501,-117.286,BCMInns - Peace River
564,Jalingo,NG,74.79,overcast clouds,8.8833,11.3667,Debright Motel
565,Banda Aceh,ID,77.85,overcast clouds,5.5577,95.3222,Sulthan Hotel International
566,Auki,SB,84.97,broken clouds,-8.7676,160.7034,Auki Motel
567,Acarau,BR,79.54,broken clouds,-2.8856,-40.12,castelo pizzaria
568,Broome,US,76.01,scattered clouds,42.2506,-75.833,Chenango Valley State Park
569,Sri Aman,MY,73.45,scattered clouds,1.2376,111.4621,Seri Simanggang Hotel
573,Iwanai,JP,78.17,scattered clouds,42.9744,140.5089,いわない高原ホテル
574,Alcochete,PT,74.7,clear sky,38.7553,-8.9609,Alcochete 2 Rooms Terrace
575,Pacific Grove,US,85.44,scattered clouds,36.6177,-121.9166,Lovers Point Inn
576,Beaverlodge,CA,84.04,broken clouds,55.2166,-119.4361,Side Trax Inn
579,Mtwara,TZ,70.66,clear sky,-10.2667,40.1833,TIL Hotels Mtwara
583,Port Blair,IN,80.51,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
585,Nemuro,JP,72.03,overcast clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
588,North Platte,US,75.09,clear sky,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
589,Matara,LK,76.8,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
594,Khash,IR,77.36,broken clouds,28.2211,61.2158,دفتر پیشخوان دولت جمال زهی (خالد)
596,Rabaul,PG,85.23,overcast clouds,-4.1967,152.1721,Rabaul Hotel
602,Vargem Grande,BR,74.64,scattered clouds,-3.5431,-43.9158,Pousada Thalajuy
603,Lagunas,PE,78.42,few clouds,-5.2269,-75.6753,Hospedaje Eco
605,Lexington,US,82.29,clear sky,37.9887,-84.4777,DoubleTree Suites by Hilton Hotel Lexington
606,Gibara,CU,83.52,scattered clouds,21.1097,-76.1317,Sol y Mar
607,Mandera,KE,75.47,broken clouds,3.9366,41.867,Kornesh Hotel and Lodging
608,Alyangula,AU,78.24,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
611,Makakilo City,US,86.32,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
612,Praya,CV,77.54,few clouds,14.9215,-23.5087,LT Aparthotel
614,Kerman,IR,78.66,scattered clouds,30.2832,57.0788,هتل آپارتمان آسام
615,Lavra,PT,73.96,clear sky,41.2594,-8.7185,Park Hotel Porto Aeroporto
616,Korla,CN,76.51,broken clouds,41.7597,86.1469,Gulisitan Hotel
620,San Pedro,PH,84.34,overcast clouds,14.35,121.0167,Villa Veronica Resort Private Pool
622,Lafia,NG,75.83,overcast clouds,8.4833,8.5167,Low Cost Housing Estate
623,Mayumba,GA,70.72,scattered clouds,-3.432,10.6554,LIKWALE LODGE
624,Pekalongan,ID,73.31,overcast clouds,-6.8886,109.6753,Namira Syariah Hotel
625,Baruun-Urt,MN,71.51,broken clouds,46.6806,113.2792,Ахмадын амралт сувилал
629,Cockburn Town,TC,80.82,few clouds,21.4612,-71.1419,Osprey Beach Hotel
630,Mareeba,AU,76.48,few clouds,-17.0,145.4333,Trinity Plains Tourist Park
631,Umm Lajj,SA,83.97,broken clouds,25.0213,37.2685,Moon light Furnished Units
633,Los Llanos De Aridane,ES,70.12,few clouds,28.6585,-17.9182,Valle Aridane
637,San Quintin,MX,73.63,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
638,Yima,CN,77.38,broken clouds,34.7381,111.8839,Yima Hotel
642,Bandarbeyla,SO,78.89,broken clouds,9.4942,50.8122,JABIR HOTEL
645,Namatanai,PG,83.37,light rain,-3.6667,152.4333,Seagulls Inn Namatani
649,Shetpe,KZ,73.31,clear sky,44.1667,52.1167,Rtsm Shetpe Analog
650,Aksu,CN,71.08,scattered clouds,41.1231,80.2644,Pudong Holiday Hotel
653,Plymouth,US,79.5,clear sky,41.8334,-70.8328,Rodeway Inn Middleboro-Plymouth
656,Aklera,IN,89.33,broken clouds,24.4167,76.5667,hotel sangam palace
657,Bubog,PH,82.06,overcast clouds,10.7694,122.96799999999999,WINBELLE PENSION HAUS
658,Tammisaari,FI,70.9,few clouds,59.9736,23.4339,Hotel Sea Front
659,Ladario,BR,76.86,clear sky,-19.0047,-57.6017,Hotel Fazenda 4 cantos
662,Sakaiminato,JP,84.18,broken clouds,35.55,133.2333,味処・民宿 まつや
665,Bam,IR,89.17,overcast clouds,29.105999999999998,58.357,Bam Tourist Hotel
